ime,priimek,starost,pozicija,stevilo_iger,povprecje_tocke,povprecje_osebne_napake,povprecje_asistence,povprecje_skoki,povprecje_trojke
Precious,Achiuwa,23,C,55,9.2,1.9,0.9,6.0,0.5
Steven,Adams,29,C,42,8.6,2.3,2.3,11.5,0.0
Bam,Adebayo,25,C,75,20.4,2.8,3.2,9.2,0.0
Ochai,Agbaji,22,SG,59,7.9,1.7,1.1,2.1,1.4
Santi,Aldama,22,PF,77,9.0,1.9,1.3,4.8,1.2
Nickeil,Alexander-Walker,24,SG,59,6.2,1.5,1.8,1.7,1.0
Grayson,Allen,27,SG,72,10.4,1.6,2.3,3.3,2.0
Jarrett,Allen,24,C,68,14.3,2.3,1.7,9.8,0.0
Jose,Alvarado,24,PG,61,9.0,2.0,3.0,2.3,1.4
Kyle,Anderson,29,PF,69,9.4,2.1,4.9,5.3,0.6
Giannis,Antetokounmpo,28,PF,63,31.1,3.1,5.7,11.8,0.7
Thanasis,Antetokounmpo,30,PF,37,1.4,0.6,0.4,1.2,0.0
Cole,Anthony,22,PG,60,13.0,2.6,3.9,4.8,1.3
OG,Anunoby,25,SF,67,16.8,3.0,2.0,5.0,2.1
Ryan,Arcidiacono,28,PG,20,1.3,0.9,1.2,0.8,0.4
Deni,Avdija,22,SF,76,9.2,2.8,2.8,6.4,0.9
Deandre,Ayton,24,C,67,18.0,2.8,1.7,10.0,0.1
Udoka,Azubuike,23,C,36,3.5,0.9,0.3,3.3,0.0
Marvin,Bagley,23,C,42,12.0,1.9,0.9,6.4,0.5
Patrick,Baldwin,20,SF,31,3.9,0.5,0.4,1.3,1.0
LaMelo,Ball,21,PG,36,23.3,3.3,8.4,6.4,4.0
Mohamed,Bamba,24,C,49,6.6,2.1,0.9,4.6,1.0
Paolo,Banchero,20,PF,72,20.0,2.2,3.7,6.9,1.2
Desmond,Bane,24,SG,58,21.5,2.6,4.4,5.0,2.9
Dalano,Banton,23,PG,31,4.6,1.1,1.2,1.5,0.5
Dominick,Barlow,19,PF,28,3.9,2.0,0.9,3.6,0.0
Harrison,Barnes,30,PF,82,15.0,1.3,1.6,4.5,1.6
Scottie,Barnes,21,SF,77,15.3,2.2,4.8,6.6,0.8
RJ,Barrett,22,SG,73,19.6,2.5,2.8,5.0,1.7
Will,Barton,32,SG,56,6.8,1.0,2.0,2.4,1.2
Charles,Bassey,22,C,35,5.7,2.1,1.3,5.5,0.1
Keita,Bates-Diop,27,PF,67,9.7,0.9,1.5,3.7,0.8
Nicolas,Batum,34,PF,78,6.1,1.9,1.6,3.8,1.6
Darius,Bazley,22,C,43,5.2,1.0,0.9,3.2,0.5
Bradley,Beal,29,SG,50,23.2,2.1,5.4,3.9,1.6
Malik,Beasley,26,SG,81,12.7,1.3,1.5,3.5,2.9
MarJon,Beauchamp,22,SF,52,5.1,1.4,0.7,2.2,0.9
Dāvis,Bertāns,30,PF,45,4.6,1.2,0.5,1.2,1.2
Patrick,Beverley,34,SG-PG,67,6.2,2.8,2.9,3.7,1.2
Saddiq,Bey,23,SF,77,13.8,1.6,1.5,4.7,2.0
Khem,Birch,30,C,20,2.2,1.2,0.4,1.3,0.1
Goga,Bitadze,23,C,38,4.4,1.7,1.0,3.6,0.2
Bismack,Biyombo,30,C,61,4.3,1.9,0.9,4.3,0.0
Buddy,Boeheim,23,SF,10,1.6,0.6,0.4,0.6,0.4
Bogdan,Bogdanović,30,SG,54,14.0,1.6,2.8,3.1,2.7
Bojan,Bogdanović,33,PF,59,21.6,1.9,2.6,3.8,2.5
Bol,Bol,23,PF,70,9.1,1.3,1.0,5.8,0.4
Leandro,Bolmaro,22,SF,14,0.4,0.7,0.5,0.5,0.0
Devin,Booker,26,SG,53,27.8,3.0,5.5,4.5,2.1
Brandon,Boston,21,SF,22,6.5,1.0,0.9,1.4,0.5
Chris,Boucher,30,PF,76,9.4,1.9,0.4,5.5,0.8
James,Bouknight,22,SG,34,5.6,1.4,1.2,2.1,1.0
Jamaree,Bouyea,23,PG,5,3.0,1.2,0.8,1.2,0.4
Tony,Bradley,25,C,12,1.6,0.2,0.1,0.9,0.3
Malaki,Branham,19,SG,66,10.2,1.7,1.9,2.7,1.2
Jarrell,Brantley,26,PF,4,5.5,0.8,0.8,1.5,1.0
Christian,Braun,21,SG,76,4.7,1.3,0.8,2.4,0.4
